onset	duration	nwb_table	crosstalk_dir	crosstalk_freq	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_side_history	HistorySection_task_history	HistorySection_incoh_history	HistorySection_gammadir_history	HistorySection_gammafreq_history	HistorySection_result_history	HistorySection_hit_history_task	HistorySection_incoh_history_task	state_type
615.372725	0.0005020000000968139	states																					"        state_name
id                
3   wait_for_cpoke"
615.373227	0.5005149999999503	states																					"            state_name
id                    
4   wait_for_cpoke_dir"
615.873742	4.521488999999974	states																					"            state_name
id                    
6   wait_for_cpoke_bis"
620.395231	0.0014939999999796783	states																					"     state_name
id             
7   nic_prestim"
620.396725	0.0005010000000993386	states																					"   state_name
id           
8       cpoke"
620.397226	0.06150399999989986	states																					"   state_name
id           
9    cpoke_in"
620.45873	0.049494000000095184	states																					"   state_name
id           
10  cpoke_out"
620.508224	0.03950099999997292	states																					"   state_name
id           
9    cpoke_in"
620.547725	0.0004999999999881766	states																					"       state_name
id               
11  wait_for_cout"
620.547725	0.0	states																					"   state_name
id           
10  cpoke_out"
620.548225	0.5304989999999634	states																					"        state_name
id                
12  wait_for_spoke"
621.078724	0.0005009999999856518	states																					"   state_name
id           
13  hit_state"
621.079225	0.5300010000000839	states																					"    state_name
id            
14  hit_state2"
621.609226	0.0034989999999197607	states																					"        state_name
id                
19  clean_up_state"
621.612725	0.6670090000000073	states																					"                state_name
id                        
2   check_next_trial_ready"
622.280225	14.878500000000031	trials	0.0	1.0	5.0	2.0	1.0	1.0	0.15	-4.0	0.0	6500.0	14200.0	0.0	l	d	0.0	-4.0	0.0	2.0			
622.280225	14.878500000000031	states																					"   state_name
id           
0     state_0"
622.280225	0.016000000000076398	states																					"          state_name
id                  
1   sending_trialnum"
622.296225	0.0004999999999881766	states																					"        state_name
id                
3   wait_for_cpoke"
622.296725	0.5	states																					"            state_name
id                    
4   wait_for_cpoke_dir"
622.796725	6.3174999999999955	states																					"            state_name
id                    
6   wait_for_cpoke_bis"
629.114225	0.0010089999999536303	states																					"     state_name
id             
7   nic_prestim"
629.115234	0.0004940000000033251	states																					"   state_name
id           
8       cpoke"
629.115728	0.07950500000004013	states																					"   state_name
id           
9    cpoke_in"
629.195233	0.07249699999999848	states																					"   state_name
id           
10  cpoke_out"
629.26773	0.0004969999999957508	states																					"       state_name
id               
11  wait_for_cout"
629.268227	0.2310139999999592	states																					"        state_name
id                
12  wait_for_spoke"
629.499241	7.655984999999987	states																					"     state_name
id             
15  error_state"
637.155226	0.0034990000000334476	states																					"        state_name
id                
19  clean_up_state"
637.159225	8.422012999999993	trials	0.0	1.0	5.0	2.0	1.0	1.0	0.15	-4.0	0.0	6500.0	14200.0		l	d	0.0	-4.0	0.0	3.0	1.0	0.0	
637.159225	8.422012999999993	states																					"   state_name
id           
0     state_0"
637.159225	0.01600199999995766	states																					"          state_name
id                  
1   sending_trialnum"
637.175227	0.0004980000001069129	states																					"        state_name
id                
3   wait_for_cpoke"
637.175725	0.5000029999999924	states																					"            state_name
id                    
4   wait_for_cpoke_dir"
637.675728	4.758495999999923	states																					"            state_name
id                    
6   wait_for_cpoke_bis"
642.434224	0.0010019999999713036	states																					"     state_name
id             
7   nic_prestim"
642.435226	0.0005110000000740911	states																					"   state_name
id           
8       cpoke"
642.435737	0.04098799999997027	states																					"   state_name
id           
9    cpoke_in"
642.476725	0.10050100000000839	states																					"   state_name
id           
10  cpoke_out"
642.577226	3.000507999999968	states																					"         state_name
id                 
17  nic_error_state"
645.577734	0.003504000000020824	states																					"        state_name
id                
19  clean_up_state"
