onset	duration	nwb_table	crosstalk_dir	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_violation_history	HistorySection_hit_history_left	HistorySection_hit_history_right	HistorySection_side_history	HistorySection_result_history	HistorySection_hit_history_task	HistorySection_hit_history_stage	state_type
1670.494506	0.003500000000030923	states																			"        state_name
id                
14  clean_up_state"
1670.498506	3.8040000000000873	trials	0.0	5.0	2.0	1.0	1.0	0.15	-2.0	0.0	6500.0	14200.0		1.0			l	3.0			
1670.498506	3.8040000000000873	states																			"   state_name
id           
0     state_0"
1670.498506	0.01600600000006125	states																			"          state_name
id                  
1   sending_trialnum"
1670.514512	0.06900100000007114	states																			"        state_name
id                
3   wait_for_cpoke"
1670.583513	0.09999999999990905	states																			"     state_name
id             
4   nic_prestim"
1670.683513	0.6149930000001405	states																			"   state_name
id           
5       cpoke"
1671.298506	3.0004999999998745	states																			"         state_name
id                 
12  nic_error_state"
1674.299006	0.003500000000030923	states																			"        state_name
id                
14  clean_up_state"
1674.303006	4.129500000000007	trials	0.0	5.0	2.0	1.0	1.0	0.15	5.0	0.0	6500.0	14200.0		1.0			r	3.0			
1674.303006	4.129500000000007	states																			"   state_name
id           
0     state_0"
1674.303006	0.016015999999808628	states																			"          state_name
id                  
1   sending_trialnum"
1674.319022	0.24548400000003312	states																			"        state_name
id                
3   wait_for_cpoke"
1674.564506	0.10000000000013642	states																			"     state_name
id             
4   nic_prestim"
1674.664506	0.7639999999998963	states																			"   state_name
id           
5       cpoke"
1675.428506	3.000500000000102	states																			"         state_name
id                 
12  nic_error_state"
1678.429006	0.003500000000030923	states																			"        state_name
id                
14  clean_up_state"
1678.433006	6.973999999999933	trials	0.0	5.0	2.0	1.0	1.0	0.15	-2.0	0.0	6500.0	14200.0		1.0			l	3.0	1.0	1.0	
1678.433006	6.973999999999933	states																			"   state_name
id           
0     state_0"
1678.433006	0.016000000000076398	states																			"          state_name
id                  
1   sending_trialnum"
1678.449006	2.880999999999858	states																			"        state_name
id                
3   wait_for_cpoke"
1681.330006	0.10000200000013137	states																			"     state_name
id             
4   nic_prestim"
1681.430008	0.9729979999999614	states																			"   state_name
id           
5       cpoke"
1682.403006	3.0005029999999806	states																			"         state_name
id                 
12  nic_error_state"
1685.403509	0.0034969999999248103	states																			"        state_name
id                
14  clean_up_state"
1685.40751	2.6994959999999537	trials	0.0	5.0	2.0	1.0	1.0	0.15	2.0	0.0	6500.0	14200.0	1.0	0.0		1.0	r	1.0	1.0	1.0	
1685.40751	2.6994959999999537	states																			"   state_name
id           
0     state_0"
1685.40751	0.016002999999955136	states																			"          state_name
id                  
1   sending_trialnum"
1685.423513	0.0005080000000816653	states																			"        state_name
id                
3   wait_for_cpoke"
1685.424021	0.10049600000002101	states																			"     state_name
id             
4   nic_prestim"
1685.524517	1.000489000000016	states																			"   state_name
id           
5       cpoke"
